Batch Code,start time,end time,Remark,Date
FS-LUSYL-07,3:30 PM,6:30 PM,,2017-09-09
FS-LUSYL-05,3:30 PM,6:30 PM,,2017-09-09
FS-LUSYL-04,3:00 PM,6:00 PM,,2017-09-09
FS-LUSYL-02,3:30 PM,6:30 PM,,2017-09-09
TUP-LUSYL-01,3:30 PM,7:30 PM,,2017-10-09
FS-LUSYL-08,3:30 PM,6:30 PM,,2017-10-09
FS-LUSYL-03,3:00 PM,6:00 PM,,2017-10-09
FS-LUSYL-04,10:00 AM,1:00 PM,,2017-10-09
FS-LUSYL-02,3:30 PM,6:30 PM,,2017-10-09
TUP-LUSYL-03,3:30 PM,7:30 PM,,2017-11-09
FS-LUSYL-03,3:00 PM,6:00 PM,,2017-11-09
FS-LUSYL-04,10:00 AM,1:00 PM,,2017-11-09
FS-LUSYL-02,3:30 PM,6:30 PM,,2017-11-09
TUP-LUSYL-01,3:30 PM,7:30 PM,,2017-12-09
FS-LUSYL-01,3:30 PM,7:30 PM,,2017-12-09
FS-LUSYL-06,3:30 PM,6:30 PM,,2017-12-09
TUP-LUSYL-02,3:30 PM,7:30 PM,,2017-09-13
FS-LUSYL-07,3:30 PM,6:30 PM,,2017-09-13
FS-LUSYL-08,3:30 PM,6:30 PM,,2017-09-13
FS-LUSYL-06,3:30 PM,6:30 PM,,2017-09-13
TUP-LUSYL-02,3:30 PM,7:30 PM,,2017-09-14
TUP-LUSYL-03,3:30 PM,7:30 PM,,2017-09-14
FS-LUSYL-01,2:30 PM,5:30 PM,,2017-09-14
FS-LUSYL-01,9:30 AM,12:30 PM,,2017-09-15
FS-LUSYL-05,2:30 PM,5:30 PM,,2017-09-15
FS-LUSYL-04,3:00 PM,6:00 PM,,2017-09-15
New Batch,12:00 PM,3:00 PM,,2017-09-09
New Batch,9:00 AM,12:00 PM,,2017-09-15
New Batch,2:30 PM,5:30 PM,,2017-09-15
TUP-SUST-07,10:00 AM,1:00 PM,,2017-10-09
TUP-SUST-06,10:00 AM,1:00 PM,,2017-11-09
TUP-SUST-07,9:00 AM,1:00 PM,,2017-11-09
TUP-SEC-01,10:00 AM,1:00 PM,,2017-09-09
TUP-SEC-01,2:00 PM,6:00 PM,,2017-11-09
TUP-SEC-01,2:00 PM,6:00 PM,,2017-12-09
New Batch,3:30 PM,6:30 PM,,2017-10-09
New Batch,3:30 PM,6:30 PM,,2017-11-09
New Batch,3:30 PM,6:30 PM,,2017-12-09
New Batch,3:30 PM,6:30 PM,,2017-09-13
New Batch,3:30 PM,6:30 PM,,2017-09-14
